49.04531308,-123.2720714,128,198,,
49.01650025,-117.031837,177,208,,
46.26369945,-124.0191417,110,232,,
46.02011129,-116.9000011,172,237,,
41.94342502,-124.2828136,96,284,,
41.97610339,-117.0757823,163,297,,
42.008765,-119.976173,134,292,, 
39.01947226,-120.0201183,129,329,,
37.935826,-122.7447277,99,336,,
34.47969815,-120.4815441,114,384,,
33.77032391,-118.3941417,133,396,,
32.54712627,-117.1087413,143,412,,
32.73215334,-114.7796398,167,414,,
35.06627714,-114.6917491,173,388,,
37.02039476,-114.0765148,183,364,,
42.03325021,-114.0325695,191,302,,
42.03325021,-111.0442882,219,305,,
45.02721297,-111.0442882,223,267,,
46.67984929,-114.384132,197,241,,
41.01334605,-109.0667491,236,319,,
37.02039476,-109.0228038,231,369,,
31.35395413,-110.9563976,205,437,,
31.39147458,-109.0667491,224,439,,
31.87787305,-106.4300304,251,435,,
32.02702119,-103.0462413,287,435,,
30.60041357,-104.9358898,267,452,,
29.03728539,-103.2220226,283,473,,
29.80284021,-101.8597179,297,463,,
36.52759328,-103.002296,291,381,,
37.02039476,-103.002296,291,374,,
37.05547352,-102.0794445,301,375,,
40.04472193,-102.0794445,302,278,,
41.01334605,-102.0794445,302,325,,
41.04649693,-104.0130382,284,324,,
43.03704734,-104.0130382,286,299,,
44.99614527,-104.1009288,287,272,,
49.00929444,-104.0130382,290,212,,
36.54395522,-99.99178173,321,382,,
34.64297493,-99.99178173,320,406,,
26.48119907,-99.20076611,326,505,,
26.0082193,-97.17928173,347,512,,
28.66244754,-96.16853954,360,479,,
29.73653067,-93.88338329,383,466,,
33.07387233,-94.05916454,381,425,,
33.62450471,-94.49861767,375,418,,
36.5015165,-94.63045361,374,383,,
39.24217215,-94.71811039,370,350,,
40.05424078,-95.37729008,368,340,,
40.62367325,-95.86068852,364,332,,
42.59487251,-96.65170414,356,305,,
43.55782937,-96.56381352,356,295,,
45.92949548,-96.56381352,356,263,,
49.04626261,-97.17904789,351,222,,
49.04626261,-95.20150883,367,222,,
48.02788943,-89.62045414,417,235,,
46.77873921,-92.25717289,396,252,,
45.49992256,-92.87240727,390,267,,
44.75582797,-92.82846195,390,279,,
43.93877232,-91.29037602,405,289,,
43.5259747,-91.29037602,406,294,,
43.5259747,-90.63119633,412,307,,
41.97718035,-90.1917432,418,314,,
41.32044258,-91.11459477,408,322,,
40.49012165,-91.42221195,404,332,,
38.93519131,-90.1917432,418,353,,
37.17052192,-89.18100102,429,374,,
36.57288555,-89.44467289,427,380,,
36.04168759,-89.75229008,423,288,,
35.00449426,-90.23568852,420,400,,
33.037824,-91.2464307,410,425,,
31.10154027,-91.64193852,406,450,,
31.10154027,-89.8401807,425,359,,
29.12496318,-90.23568852,422,473,,
30.49758613,-88.38998539,420,458,,
35.07645441,-88.12631352,440,400,,
37.90230127,-88.03842289,439,365,,
